disassembled_number_of_lines,disassembled_line_length_49,disassembled_line_length_56,disassembled_line_length_44,disassembled_line_length_55,disassembled_line_length_43,disassembled_line_length_62,disassembled_line_length_59,disassembled_line_length_45,disassembled_line_length_63
1389605.0,131845.0,106253.0,167943.0,56949.0,36723.0,11670.0,8485.0,11916.0,4696.0
666254.0,86473.0,42757.0,119963.0,47976.0,6315.0,3650.0,1863.0,5185.0,975.0
596370.0,54222.0,39366.0,122157.0,19631.0,8060.0,4401.0,3274.0,4498.0,1819.0
1576622.0,146486.0,122864.0,282821.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
1576620.0,146484.0,122863.0,282820.0,113366.0,18388.0,8060.0,2904.0,3505.0,2785.0
1576618.0,146483.0,122863.0,282821.0,113366.0,18388.0,8060.0,2904.0,3504.0,2785.0
1045288.0,119504.0,95067.0,125905.0,44097.0,28093.0,12923.0,9311.0,12604.0,5037.0
585892.0,56873.0,42027.0,80175.0,24236.0,11583.0,6118.0,3986.0,5702.0,2221.0
742152.0,92266.0,67173.0,110606.0,36022.0,19995.0,9861.0,7093.0,9861.0,3824.0
666257.0,86477.0,42754.0,119970.0,47975.0,6315.0,3649.0,1863.0,5185.0,975.0
1216989.0,96734.0,76579.0,160505.0,40678.0,21659.0,9627.0,7174.0,10492.0,3457.0
664652.0,86333.0,62733.0,85913.0,31354.0,19566.0,9487.0,6917.0,9078.0,3716.0
1162523.0,120186.0,94057.0,128557.0,48936.0,34384.0,11090.0,7914.0,10558.0,4441.0
1576620.0,146483.0,122863.0,282821.0,113367.0,18388.0,8060.0,2904.0,3504.0,2785.0
1576616.0,146483.0,122866.0,282819.0,113365.0,18388.0,8061.0,2904.0,3504.0,2785.0
666137.0,86478.0,42768.0,119918.0,47964.0,6313.0,3650.0,1838.0,5182.0,974.0
13247.0,333.0,1136.0,938.0,264.0,647.0,58.0,109.0,6.0,19.0
13252.0,337.0,1135.0,940.0,264.0,648.0,58.0,108.0,6.0,19.0
495539.0,60191.0,43690.0,78823.0,24707.0,12591.0,6302.0,4424.0,6435.0,2410.0
1441482.0,135883.0,110581.0,170041.0,60343.0,38845.0,11705.0,8302.0,11660.0,4664.0
1075577.0,111233.0,105828.0,111743.0,40857.0,26426.0,12177.0,8429.0,12739.0,5292.0
957853.0,120323.0,87692.0,138391.0,46134.0,26439.0,13030.0,9366.0,12722.0,5039.0
786180.0,97987.0,71365.0,116229.0,38223.0,21234.0,10509.0,7437.0,10342.0,4057.0
654874.0,80426.0,58863.0,99635.0,31804.0,17286.0,8522.0,6075.0,8621.0,3350.0
13253.0,337.0,1134.0,941.0,264.0,647.0,58.0,108.0,6.0,19.0
918538.0,115214.0,83951.0,133295.0,44439.0,25234.0,12448.0,8970.0,12160.0,4836.0
767913.0,98684.0,72080.0,98446.0,35915.0,22559.0,10833.0,7759.0,10200.0,4214.0
13243.0,337.0,1133.0,938.0,266.0,648.0,58.0,106.0,6.0,19.0
510625.0,62035.0,45097.0,80776.0,25354.0,13054.0,6536.0,4574.0,6677.0,2535.0
970186.0,122051.0,88619.0,139762.0,46734.0,26806.0,13243.0,9353.0,12920.0,5032.0
1576619.0,146486.0,122863.0,282818.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
825519.0,102885.0,75344.0,121182.0,39880.0,22488.0,11251.0,7902.0,11239.0,4286.0
1127038.0,142490.0,104029.0,159389.0,54114.0,31671.0,15523.0,10935.0,15557.0,5910.0
1576621.0,146484.0,122863.0,282820.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
1576621.0,146486.0,122863.0,282820.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
507782.0,65233.0,47215.0,65952.0,23967.0,14767.0,7146.0,5116.0,6861.0,2772.0
418038.0,54260.0,39250.0,54130.0,20039.0,12162.0,5928.0,4248.0,5652.0,2302.0
831881.0,107905.0,78973.0,107170.0,39214.0,24650.0,12018.0,8665.0,11688.0,4604.0
1576620.0,146482.0,122863.0,282821.0,113366.0,18388.0,8060.0,2904.0,3504.0,2785.0
70516.0,8872.0,6064.0,9473.0,3631.0,1659.0,865.0,609.0,912.0,336.0
867012.0,52788.0,33974.0,83483.0,31074.0,5910.0,2136.0,9505.0,1301.0,482.0
666256.0,86471.0,42754.0,119969.0,47975.0,6315.0,3650.0,1863.0,5186.0,975.0
1576621.0,146484.0,122863.0,282821.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
13245.0,336.0,1134.0,940.0,264.0,648.0,58.0,106.0,6.0,19.0
1576617.0,146483.0,122863.0,282819.0,113365.0,18388.0,8061.0,2904.0,3504.0,2785.0
147991.0,14803.0,10503.0,34166.0,8298.0,2088.0,1239.0,785.0,1693.0,444.0
1576617.0,146484.0,122863.0,282819.0,113365.0,18388.0,8061.0,2904.0,3504.0,2785.0
1277489.0,47778.0,73618.0,119812.0,27965.0,23517.0,1714.0,661.0,1615.0,447.0
1023571.0,133061.0,96807.0,132039.0,48116.0,30293.0,14862.0,10683.0,13952.0,5715.0
666140.0,86473.0,42770.0,119917.0,47966.0,6314.0,3650.0,1837.0,5183.0,974.0
1576619.0,146483.0,122865.0,282821.0,113366.0,18388.0,8060.0,2904.0,3504.0,2785.0
643585.0,71480.0,54542.0,94184.0,29124.0,16689.0,7216.0,5126.0,7269.0,2805.0
1576620.0,146484.0,122863.0,282820.0,113365.0,18388.0,8060.0,2904.0,3505.0,2785.0
801289.0,104339.0,75554.0,103547.0,37800.0,23466.0,11507.0,8278.0,10870.0,4401.0
845466.0,101940.0,76630.0,104777.0,37771.0,24486.0,10894.0,7799.0,10275.0,4273.0
601045.0,77366.0,36948.0,107936.0,43531.0,5909.0,3406.0,1773.0,4451.0,894.0
1576619.0,146484.0,122864.0,282818.0,113365.0,18388.0,8060.0,2904.0,3504.0,2785.0
970161.0,71537.0,68759.0,107915.0,31255.0,37700.0,6641.0,7191.0,4403.0,1620.0
13249.0,337.0,1134.0,942.0,264.0,648.0,58.0,106.0,6.0,19.0
666134.0,86471.0,42771.0,119917.0,47964.0,6313.0,3650.0,1837.0,5182.0,974.0
1576619.0,146484.0,122864.0,282820.0,113365.0,18388.0,8061.0,2904.0,3504.0,2785.0
851692.0,110572.0,80600.0,110030.0,40165.0,25103.0,12184.0,8894.0,11532.0,4756.0
13244.0,335.0,1134.0,940.0,264.0,648.0,58.0,106.0,6.0,19.0
